"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
308,41,0,5,3,3,4,2,1,6,4,7,3,6,3,2,7,7,6,7,5,5,3,6,3,6,1,4,2,4,62,79,80,71,79,77,73,78,80,3,3,5,6,4,6,5,4,2,6,3,5,1,4,5,1,2,3,5,3,"Democrat","HappyW"
601,49,0,5,3,7,7,6,7,6,6,6,2,6,2,2,6,7,7,7,2,7,7,7,4,4,2,7,7,4,90,16,81,27,95,69,68,33,19,2,4,2,2,2,5,4,3,3,2,5,6,6,4,2,2,4,3,4,1,"Republican","Control"
225,26,0,5,3,6,7,7,7,6,6,6,5,9,6,4,7,7,6,7,5,7,5,6,6,5,6,5,5,6,95,92,91,81,87,92,81,88,94,6,7,5,5,6,5,5,6,5,6,5,7,6,3,3,5,4,4,4,1,"Democrat","HappyW"
361,19,0,5,3,7,7,7,7,7,7,7,4,5,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,55,100,21,100,50,54,89,50,0,3,4,4,4,4,4,4,7,7,5,6,5,4,5,1,1,1,2,3,1,"Democrat","HappyQ"
1233,45,1,6,3,3,4,2,4,6,6,6,6,5,4,2,5,5,3,5,6,6,6,6,6,6,6,6,6,6,30,80,6,84,52,80,99,72,8,1,2,2,2,4,4,4,2,2,2,6,7,7,1,4,3,3,2,3,1,"Democrat","HappyP"
511,51,1,5,3,4,1,1,1,4,4,4,4,5,4,2,1,1,1,1,5,4,4,3,4,6,4,7,5,5,34,21,34,33,16,15,57,52,0,2,2,3,4,4,4,4,3,2,1,7,7,7,5,3,3,3,5,3,1,"Democrat","Control"
590,36,1,5,3,6,5,1,4,6,6,7,6,8,7,2,4,3,1,4,5,6,6,6,7,5,7,5,5,5,38,70,8,73,68,35,53,77,50,5,6,4,5,6,7,6,6,5,6,6,5,5,5,2,3,1,3,2,1,"Democrat","HappyW"
791,53,0,5,3,6,5,1,5,7,7,7,6,5,3,2,6,7,1,6,4,5,4,3,4,2,2,5,4,4,0,93,0,100,91,66,87,0,3,1,1,1,1,1,1,1,7,4,1,7,7,7,4,4,4,4,4,4,1,"Democrat","HappyP"
620,59,1,6,4,5,5,3,5,7,6,7,5,2,4,2,5,5,3,5,4,5,6,4,5,6,3,5,5,6,30,100,40,100,100,40,100,92,0,3,3,4,4,5,5,5,4,3,3,3,5,4,4,2,1,3,4,1,3,"Democrat","HappyQ"
793,22,1,5,5,7,7,1,7,7,7,7,4,10,5,2,7,7,1,7,3,5,7,3,4,4,4,6,4,5,100,50,86,52,7,83,10,44,0,4,4,4,4,7,7,7,4,4,4,6,4,4,3,3,3,3,4,1,1,"Republican","Control"
598,47,1,5,2,7,7,7,7,5,3,4,1,5,4,2,7,7,7,7,7,7,7,4,5,3,4,3,4,7,67,42,68,41,0,59,31,0,0,5,5,5,5,4,4,4,4,4,4,4,4,4,1,3,1,3,3,1,1,"Democrat","Control"
873,26,1,5,3,6,6,3,3,7,5,7,5,6,6,2,6,5,3,3,5,5,6,7,7,4,7,7,6,5,0,88,0,83,76,0,96,96,0,1,1,1,1,1,1,1,1,1,1,7,1,1,5,1,1,2,5,1,1,"Democrat","HappyW"
361,48,1,6,3,5,6,2,5,7,4,7,6,1,7,2,7,7,6,7,6,6,5,6,5,5,5,6,6,6,1,95,1,100,99,3,79,81,2,1,1,1,1,4,4,4,3,3,2,4,4,5,4,1,2,1,2,1,1,"Democrat","HappyP"
530,23,1,5,3,4,4,3,6,5,5,4,4,2,4,2,4,4,3,5,4,4,3,2,3,4,4,3,4,4,17,56,35,63,61,34,63,100,0,3,3,3,3,5,5,4,4,2,4,6,5,4,3,1,1,1,2,1,2,"Democrat","Control"
