"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
456,24,1,1,3,"opponent",0,4,2,100,0,75,100,100,0,0,48,58,0,0,0,5,4,3,3,5,3,3,"ANXW",7,7,1,1,1,4,4,4,4,4,4,1,6,7,7,4,1,0,2,1
856,49,3,2,2,"opponent",3,2,2,34,50,28,30,34,61,85,50,1,72,11,2,4,5,3,4,3,2,1,"ControlW",3,4,4,4,3,2,2,2,6,7,5,4,2,3,4,3,3,0,0,0
580,33,1,1,5,"opponent",0,7,2,92,0,0,100,79,0,100,13,65,67,0,0,4,4,2,1,4,2,1,"ControlW",7,7,7,7,1,1,1,1,1,1,1,2,3,7,7,7,1,0,0,0
388,45,4,2,4,"supporter",0,1,2,73,14,0,47,48,21,79,34,32,23,0,0,3,4,1,5,3,1,1,"HappyW",1,1,1,1,2,2,2,2,7,7,7,2,4,4,4,2,2,0,0,0
5331,41,1,1,3,"supporter",5,4,2,82,17,92,13,84,13,57,47,13,79,49,16,3,3,4,4,3,2,2,"ANGW",6,6,6,4,2,6,5,5,4,4,4,4,4,4,4,4,3,0,0,0
293,77,3,1,1,"supporter",10,5,2,93,35,96,37,84,15,38,99,55,32,52,16,3,4,1,2,4,1,2,"ANXW",4,5,5,4,6,4,6,6,4,2,4,7,6,4,4,4,7,0,0,1
7830,22,1,1,3,"supporter",10,4,2,90,5,51,34,51,7,37,41,37,10,29,49,3,3,2,3,3,1,1,"ANXW",4,4,5,4,4,4,4,4,3,3,5,7,7,5,4,7,4,0,0,1
932,56,2,1,3,"opponent",0,2,2,93,5,3,91,78,6,96,7,6,84,52,4,3,2,3,3,3,2,1,"ControlW",4,4,4,1,3,4,4,3,1,1,1,4,4,4,4,4,4,0,0,0
549,30,4,1,2,"supporter",10,4,2,100,5,0,0,100,0,0,0,0,0,0,0,3,5,5,1,5,1,5,"ANXW",7,7,7,7,4,4,4,4,7,7,7,4,4,4,4,4,4,0,0,1
560,81,4,2,6,"opponent",5,4,2,99,0,2,1,99,1,75,20,75,67,1,1,4,4,3,2,3,1,2,"ControlW",7,7,7,1,4,3,5,2,2,4,2,5,2,7,6,6,1,0,0,0
338,49,3,2,6,"opponent",4,6,2,98,6,27,91,98,0,89,35,55,62,9,0,3,1,1,1,1,1,5,"ANXW",7,5,7,4,4,4,4,4,7,7,6,2,1,6,5,4,4,0,0,0
428,32,4,2,6,"supporter",9,7,2,61,0,62,24,75,0,17,83,14,0,48,0,3,3,2,3,2,3,1,"ANXW",6,6,6,6,1,1,1,1,4,3,4,2,3,6,5,5,2,0,0,0
288,18,2,2,1,"opponent",3,4,2,55,14,16,70,67,8,66,67,68,61,9,16,3,2,1,1,1,1,2,"HappyW",5,3,5,5,3,3,4,4,3,3,3,3,5,4,5,4,3,1,0,0
