"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
612,37,0,8,4,4,4,4,3,3,4,4,4,2,2,5,61,46,67,39,50,50,50,48,47,4,4,4,4,5,4,5,4,4,4,4,4,4,2,2,4,4,3,4,1,"ControlP","left"
410,50,1,3,4,5,1,4,6,4,4,1,8,2,2,6,52,51,50,10,51,51,51,51,51,4,4,4,4,6,7,4,4,4,4,4,4,4,4,3,2,4,3,1,1,"HappyQ","right"
529,63,0,9,5,5,6,5,4,5,3,5,3,6,2,5,80,0,73,0,72,50,71,71,0,2,2,4,2,4,4,4,3,3,3,5,6,5,1,1,1,1,1,1,1,"HappyP","left"
231,38,1,8,6,3,1,2,2,4,2,3,7,5,2,7,78,21,86,18,75,18,69,42,39,6,6,6,6,5,5,4,6,6,6,2,2,2,2,2,1,2,2,1,2,"HappyP","right"
496,58,1,8,5,6,6,7,5,5,5,4,3,5,2,7,85,33,85,21,85,31,30,93,59,5,4,6,6,4,5,5,4,3,4,4,5,4,3,2,2,1,3,2,1,"ControlW","left"
558,71,1,6,4,6,4,4,5,5,5,4,3,6,1,5,96,0,95,3,79,2,62,84,13,2,2,3,3,4,4,4,6,6,2,6,6,5,4,3,3,3,3,3,2,"HappyW","left"
642,37,0,8,4,3,2,2,5,4,4,3,7,4,2,5,60,18,68,18,28,43,59,9,9,4,3,4,4,5,3,5,5,5,3,6,4,4,1,2,1,1,2,1,1,"ControlQ","right"
534,61,0,8,7,6,7,7,1,4,4,1,3,1,2,7,51,0,51,0,51,0,51,11,41,1,2,2,2,4,4,4,4,1,4,6,5,4,3,2,1,2,3,2,1,"HappyQ","left"
363,65,0,8,6,6,6,6,4,2,2,4,4,3,2,8,51,41,71,44,63,43,61,58,45,2,2,2,2,4,4,4,4,3,3,5,3,4,4,2,2,2,5,1,2,"ControlW","left"
1057,64,0,3,7,7,7,7,4,4,4,4,9,4,4,8,90,0,90,0,50,52,50,40,52,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"ControlP","right"
243,23,1,9,4,4,4,4,4,4,5,2,8,5,2,7,77,1,79,0,13,78,49,1,17,2,1,2,1,2,2,2,1,4,2,6,6,4,1,1,1,1,4,1,1,"HappyW","right"
553,73,0,3,2,2,1,3,5,5,5,5,8,4,2,2,72,33,93,26,27,72,42,30,58,2,1,2,2,5,5,5,2,4,2,6,6,5,5,5,4,5,3,3,1,"ControlP","right"
1841,69,1,6,4,4,4,4,3,3,5,2,4,5,2,6,87,24,83,20,84,20,82,84,49,4,4,4,4,4,4,4,4,3,4,4,4,4,1,2,1,1,1,1,1,"HappyQ","left"
358,31,0,5,6,5,5,5,4,2,4,2,7,3,2,7,53,15,57,15,33,59,50,44,16,4,3,4,5,5,5,5,4,3,4,5,3,4,4,3,3,4,4,2,1,"ControlQ","right"
